"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Symbol-Front-RGB-sensor";1;"LOGO";;;
2;"G***";"Symbol-Front-Gesture";1;"LOGO";;;
3;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"Ref**";"Version1.0.0.";1;"Val**";;;
6;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
7;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
8;",,,,,,,,,,,,,";"buzzardLabel";14;"";;;
9;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
10;"C3,C1";"0603C";2;"1uF";;;
11;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
12;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
13;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
14;"R4,R2,R3,R5,R1";"0603R";5;"10k";;;
15;"K4";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
16;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
17;"U2";"SOT-363";1;"NMOS-DUAL";;;
18;"C5,C4";"0603C";2;"2.2uF";;;
19;"C2";"1210C_tantal";1;"68uF";;;
20;"U1";"APDS-9960";1;"APDS-9960";;;
21;"JP4,JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
22;"U3";"SOT-23-5";1;"SE5218";;;
23;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
