"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,";"buzzardLabel";15;"";;;
2;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
3;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
4;"C3,C1";"0603C";2;"1uF";;;
5;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
6;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
7;"R4,R2,R3,R5,R1";"0603R";5;"10k";;;
8;"G***";"Symbol-Front-RGB-sensor";1;"LOGO";;;
9;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
10;"U2";"SOT-363";1;"NMOS-DUAL";;;
11;"C5,C4";"0603C";2;"2.2uF";;;
12;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
13;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
14;"C2";"1210C_tantal";1;"68uF";;;
15;"U1";"APDS-9960";1;"APDS-9960";;;
16;"JP4,JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
17;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
18;"G***";"Symbol-Front-Gesture";1;"LOGO";;;
19;"U3";"SOT-23-5";1;"SE5218";;;
20;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
21;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
22;"K4";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
23;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
24;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
